"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Discritomyia fulgens",NA,NA,NA,NA,NA,NA,NA,NA
"Discritomyia newspecies",NA,NA,NA,NA,NA,NA,NA,NA
"Discritomyia terryi",NA,NA,NA,NA,NA,NA,NA,NA
"Dissoptera sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Dixa dilatata",NA,NA,NA,NA,NA,NA,NA,NA
"Dixa recens",NA,NA,NA,NA,NA,NA,NA,NA
"Dixella attica",NA,NA,NA,NA,NA,NA,NA,NA
"Dixella autumnalis",NA,NA,NA,NA,NA,NA,NA,NA
"Doros aequalis",NA,NA,"MW474045.1","661",NA,NA,NA,NA
"Doros conopseus",NA,NA,NA,NA,NA,NA,NA,NA
"Drino behemica",NA,NA,NA,NA,NA,NA,NA,NA
"Drino bohemica",NA,NA,"MT048311.1","658",NA,NA,NA,NA
"Drosophila ""melanissima""",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila acanthoptera",NA,NA,"EU493598.1","1301","EU493728.1","1420","EU493858.1","1197"
"Drosophila acutilabella",NA,NA,"HM006873.1","798","AY173211.1","324","AF519349.1","416"
"Drosophila adiastola",NA,NA,"MK277065.1","1469","U94209.1","365","U94225.1","228"
"Drosophila adunca",NA,NA,"MK277050.1","1469","AY006428.1","688","EU493902.1","831"
"Drosophila afer",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila affinidisjuncta",NA,NA,"MK277034.1","1469",NA,NA,NA,NA
"Drosophila affinis",NA,NA,"MG473702.1","516","MK659802.1","15905","EU493888.1","1643"
"Drosophila aglaia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila agumbensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila airzonensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila albirostris",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila albomicans","NC_027937.1","15846","MW122893.1","658","EU493714.1","759",NA,NA
"Drosophila alboralis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila aldrichi",NA,NA,"MH108620.1","658","JF736117.1","672",NA,NA
"Drosophila alexandrei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila algonquin","MK659803.1","15912","JF735923.1","668","MK659803.1","15912",NA,NA
"Drosophila alpina","AB016601.1","462","MZ610759.1","658",NA,NA,NA,NA
"Drosophila alsophila",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila altiplanica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ambigua","U07298.1","606","EU493630.1","1996","EU493759.1","1417","EU493889.1","2151"
"Drosophila americana","MK659804.1","19219","JN019935.1","659","MK659804.1","19219","FJ536199.1","616"
"Drosophila amplilobus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ananassae","CM029947.1","15821","MW122904.1","658","MK659805.1","15830",NA,NA
"Drosophila anceps",NA,NA,"DQ471598.1","1500","JF736093.1","716",NA,NA
"Drosophila andamensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila andina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila angularis",NA,NA,NA,NA,"MK016667.1","684","MK017053.1","416"
"Drosophila angustibucca",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila annulimana",NA,NA,NA,NA,"AY847756.1","684",NA,NA
"Drosophila annulipes",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila anomalipes",NA,NA,NA,NA,"EU493775.1","1457","EU493905.1","1697"
"Drosophila anomelani",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila anoplastoma",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila antilla",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila aracea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila araicas",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arapuan",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ararama",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arassari",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arauana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila araucana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arauna",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arawakana",NA,NA,"HM006881.1","798","AY173182.1","324",NA,NA
"Drosophila arawakana kittensis",NA,NA,NA,NA,"AY173165.1","324",NA,NA
"Drosophila arcuata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila argentostriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila arizonensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila asketostoma",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila asper",NA,NA,"DQ471545.1","1500",NA,NA,NA,NA
"Drosophila assita",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila atalaia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila athabasca","MK659807.1","15903",NA,NA,"MK659807.1","15903",NA,NA
"Drosophila atrata",NA,NA,NA,NA,"AY162972.1","686",NA,NA
"Drosophila atrimentum",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila atripex",NA,NA,"FJ795575.1","453","KM487021.1","608",NA,NA
"Drosophila atroscutellata",NA,NA,"MK277057.1","1469","HQ170713.1","749",NA,NA
"Drosophila attigua",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila auraria",NA,NA,"EU493624.1","1294","MK659808.1","16086","EU493883.1","1598"
"Drosophila aureata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila austrosaltans",NA,NA,"EU493634.1","2018","MZ857168.1","688","EU493893.1","1591"
"Drosophila azteca","U07284.1","607","U51605.1","467","M95146.1","688",NA,NA
"Drosophila baelladunni",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila baimaii",NA,NA,"EU493625.1","1293","EU493754.1","1428","EU493884.1","1163"
"Drosophila bakoue",NA,NA,"KX771128.1","658",NA,NA,NA,NA
"Drosophila balioptera",NA,NA,"MK277080.1","1469",NA,NA,NA,NA
"Drosophila bandeirantorum",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila barbarae",NA,NA,"KR654855.1","658","EU493755.1","1415","EU493885.1","663"
"Drosophila basimacula",NA,NA,"MK277008.1","1469","HQ170639.1","698",NA,NA
"Drosophila basisetae",NA,NA,"MK276995.1","1469",NA,NA,NA,NA
"Drosophila bedicheki",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila belladunni",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila betari",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila biarmipes","MK659809.1","16088","MK551133.1","509","MK659809.1","16088",NA,NA
"Drosophila biauraria","AB027259.1","407","MF540629.1","658","AF461300.1","384",NA,NA
"Drosophila bicornuta",NA,NA,"AB669753.1","1536","AF461283.1","384",NA,NA
"Drosophila bifasciata",NA,NA,"EU493632.1","1994","MK659810.1","16341","EU493891.1","1567"
"Drosophila bifasicata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bifurca",NA,NA,"MH142732.1","658","AF145891.1","688","AF145895.1","419"
"Drosophila bifurca I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bifurca II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila biopaca",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bipectinata","MK659811.1","15780","MK551134.1","503","MK659811.1","15780",NA,NA
"Drosophila bipunctata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila birchii",NA,NA,"AB669746.1","1536","AF461292.1","384",NA,NA
"Drosophila biseriata",NA,NA,NA,NA,"EU493777.1","729","GU597522.1","445"
"Drosophila biseriata-like",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bizonata",NA,NA,NA,NA,"MK016668.1","684","MK017054.1","387"
"Drosophila blumelae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bocainensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bocainoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bocki","AB032127.1","407","AB669730.1","1536","AB669787.1","645",NA,NA
"Drosophila bocqueti","NC_060502.1","16019","KX771122.1","658","KJ746534.1","673",NA,NA
"Drosophila borborema","MN551231.1","14889","MN551231.1","14889","MN551231.1","14889","MN551231.1","14889"
"Drosophila borealis","HQ849823.1","15197","MH423327.1","658","EU390740.1","657","KX399464.1","932"
"Drosophila bostrycha",NA,NA,"MK277122.1","1469","EU493778.1","1413",NA,NA
"Drosophila brachynephros",NA,NA,"AF519382.1","413","AF519318.1","688","AF519350.1","416"
"Drosophila brevicarinata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila briegeri",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bristle foot",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila brncici",NA,NA,NA,NA,"AY847757.1","680",NA,NA
"Drosophila bromeliae",NA,NA,"KF632602.1","1500","AF478418.1","688",NA,NA
"Drosophila bromelioides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila brooksae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila brunneipalpa",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila brunneipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila bryani",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila busckii",NA,NA,"MF882465.1","588","MK659813.1","15802","AF519379.1","416"
"Drosophila buzzatii","MK659814.1","16244","OP163055.1","658","MN551232.1","14899","MN551232.1","14899"
"Drosophila californica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila calloptera",NA,NA,NA,NA,"AF478419.1","688",NA,NA
"Drosophila camargoi",NA,NA,NA,NA,"KX275253.1","549","EU493839.1","2164"
"Drosophila camaronensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila canalinea",NA,NA,"KX275234.1","531","KX275255.1","549",NA,NA
"Drosophila canalinioides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila canapalpa",NA,NA,"JF736086.1","367","JF736126.1","685",NA,NA
"Drosophila cancellata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila caponei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila capricorni",NA,NA,"MG010100.1","819","EU532079.1","645","EU493896.1","1179"
"Drosophila carbonaria",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila carcinophila",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cardini",NA,NA,"MT807024.1","658","EU493707.1","767","EU493837.1","1666"
"Drosophila cardinoides",NA,NA,"HM006875.1","798","HM006885.1","672",NA,NA
"Drosophila caribaiana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila carsoni",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila castanea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila centralis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila chaetopeza",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila chamundiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cheda",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ciliaticrus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cilifemorata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cilifera",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila circumdata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila clavisetae",NA,NA,"MK277140.1","1469",NA,NA,NA,NA
"Drosophila claytonae",NA,NA,"MK277119.1","1502",NA,NA,NA,NA
"Drosophila cognata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila colorata",NA,NA,"JF873585.1","658","EU390741.1","657",NA,NA
"Drosophila comatifemora",NA,NA,NA,NA,"EU493780.1","1411","EU493908.1","2173"
"Drosophila confusa",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila conjectura",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila conspicua",NA,NA,"MK277123.1","1469",NA,NA,NA,NA
"Drosophila converga",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila coracina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cordata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila coroica",NA,NA,NA,NA,"KX275236.1","549",NA,NA
"Drosophila coroica paraguttata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila crassifemur",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila crocina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila crucigera",NA,NA,"MK277037.1","1469","AY343526.1","688",NA,NA
"Drosophila cuauhtemoci",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila curviceps",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila cyrtoloma",NA,NA,"MK277143.1","1469","AY006437.1","688","U94228.1","228"
"Drosophila davidi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila deltaneuron",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila denticulata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila desertorum",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila diamphidiopoda",NA,NA,"MK277051.1","1469","HQ170724.1","688",NA,NA
"Drosophila differens",NA,NA,"HQ170840.1","198","AY006435.1","688",NA,NA
"Drosophila digressa",NA,NA,"MK277030.1","1469",NA,NA,NA,NA
"Drosophila diminuens",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila discreta",NA,NA,"MK277127.1","1469",NA,NA,NA,NA
"Drosophila disjuncta",NA,NA,"MK277038.1","1469","U94213.1","365","U94229.1","228"
"Drosophila dissita",NA,NA,"HQ170763.1","780","HQ170649.1","750",NA,NA
"Drosophila disticha",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila distinguenda",NA,NA,"MK277073.1","1469",NA,NA,NA,NA
"Drosophila divaricata",NA,NA,"MK277168.1","1469",NA,NA,NA,NA
"Drosophila dominicana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila dreyfusi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila duncani",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila dunni",NA,NA,"EU493577.1","2051","EU493708.1","1386","EU493838.1","1662"
"Drosophila dunni thomasensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila earlei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila eilifera",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila elegans","AB032130.1","407","AY098458.1","407","AF461307.1","384",NA,NA
"Drosophila elliptica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila emarginata",NA,NA,"EU493635.1","1640","MZ857175.1","688","EU493894.1","1173"
"Drosophila endobranchia",NA,NA,NA,NA,"EU490433.1","640",NA,NA
"Drosophila engyochracea",NA,NA,"MK277077.1","1469","AF435851.1","516",NA,NA
"Drosophila enigma",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila entrichocnema",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila eohydei",NA,NA,"AF145885.1","408","AF145889.1","688","AF145893.1","419"
"Drosophila equinioxialis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ercepeae",NA,NA,"FJ795576.1","518","AF461306.1","384",NA,NA
"Drosophila erecta","MK659815.1","16309","KX771108.1","658","GQ244453.1","684",NA,NA
"Drosophila eremophila",NA,NA,"MH142736.1","658","DQ202013.1","717",NA,NA
"Drosophila eskoi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila eugracilis","MK659816.1","15940","AY098461.1","407","MK659816.1","15940",NA,NA
"Drosophila euronotus",NA,NA,NA,NA,"EU390743.1","657","GU597516.1","445"
"Drosophila eurypeza",NA,NA,"EU493653.1","794","EU493782.1","749","EU493910.1","1652"
"Drosophila ezoana","HQ849832.1","15452","MH423330.1","658",NA,NA,"FJ536198.1","614"
"Drosophila facialba",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fairchildi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila falleni",NA,NA,"MG478078.1","577","AF147117.1","688","AF147127.1","416"
"Drosophila fasciculisetae",NA,NA,"MK277128.1","1469",NA,NA,NA,NA
"Drosophila fasciola",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fascioloides",NA,NA,NA,NA,"KX275238.1","549",NA,NA
"Drosophila ficusphila","MK659817.1","15569","AY757285.1","783","MK659817.1","15569",NA,NA
"Drosophila flavibasis",NA,NA,NA,NA,"EU493783.1","1413","EU493911.1","318"
"Drosophila flavomontana","HQ849829.1","15343","JF735925.1","689","JF735932.1","715",NA,NA
"Drosophila flavopilosa",NA,NA,"JX993097.1","716",NA,NA,NA,NA
"Drosophila flavopinicola",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila flavorepleta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila flexipes",NA,NA,"MK277117.1","1502",NA,NA,NA,NA
"Drosophila florae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila formella",NA,NA,"MK277020.1","1469",NA,NA,NA,NA
"Drosophila fragilis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila freycinetiae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fuliginea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fulvalineata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fulvimacula",NA,NA,"KX275230.1","531","KX275250.1","549",NA,NA
"Drosophila fulvimacula flavorepleta",NA,NA,NA,NA,"JF736119.1","645",NA,NA
"Drosophila fulvimaculoides",NA,NA,"JF736060.1","367","JF736094.1","717",NA,NA
"Drosophila fumida",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila fumipennis",NA,NA,"MG010101.1","819","EU532081.1","601","EU493898.1","835"
"Drosophila fumosa",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila funebris","OY282429.1","16154","MG078611.1","582","EU390744.1","657","EU493840.1","674"
"Drosophila fuscoamoeba",NA,NA,NA,NA,"HQ170658.1","737",NA,NA
"Drosophila gasici",NA,NA,NA,NA,"AY847762.1","682",NA,NA
"Drosophila gaucha",NA,NA,"EU390733.1","645","EU390745.1","657",NA,NA
"Drosophila gibberosa",NA,NA,NA,NA,NA,NA,"EU493833.1","1179"
"Drosophila giriensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila glabriapex",NA,NA,"MK277018.1","1469","EU493784.1","755",NA,NA
"Drosophila goureaui",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila gradata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila greeni",NA,NA,"AY757288.1","789","AY757288.1","789",NA,NA
"Drosophila greerae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila grimshawi","BK006341.1","14874","MK277125.1","1469","GU597491.1","663",NA,NA
"Drosophila grisea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila griseolineata",NA,NA,"EU493581.1","1314","EU493711.1","1445","EU493842.1","2140"
"Drosophila guanche","MK659818.1","15780","U51612.1","496","MK659818.1","15780",NA,NA
"Drosophila guaraja",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila guaramunu",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila guarani",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila guaru",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila guttifera","MK659819.1","16141","JF871639.1","658","MK659819.1","16141","EU493864.1","1653"
"Drosophila gymnobasis",NA,NA,"GU597460.1","439","GU597492.1","663","GU597523.1","445"
"Drosophila gymnophallus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila hamatofila",NA,NA,"MH142744.1","597","DQ202014.1","700","AF146188.1","419"
"Drosophila hamifera",NA,NA,"MK277141.1","1469","EU493786.1","749","EU493914.1","318"
"Drosophila hanaulae",NA,NA,"MK277110.1","1502","AY006427.1","688",NA,NA
"Drosophila hawaiiensis",NA,NA,"MK277022.1","1469","AF438163.1","516",NA,NA
"Drosophila heedi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila helvetica",NA,NA,NA,NA,"EF216252.1","688",NA,NA
"Drosophila hemipeza",NA,NA,"HQ170842.1","213","AY006429.1","688",NA,NA
"Drosophila heterobristalis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila heteroneura","MK659820.1","15757","MK277149.1","1469","MK659820.1","15757","AF034777.1","399"
"Drosophila hexachaetae",NA,NA,"MK277163.1","1469",NA,NA,NA,NA
"Drosophila hexastigma",NA,NA,"MH142746.1","624","DQ202016.1","719","AF183972.1","416"
"Drosophila hexastriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila hirtipalpus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila histrio","OY282583.1","16024","MZ632791.1","658","AF519322.1","688","AF519354.1","416"
"Drosophila howensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila hydei","MK659821.1","15895","MT807009.1","658","MK659821.1","15895","EU493866.1","1986"
"Drosophila hydeoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila hypocausta",NA,NA,"EU493585.1","2008","AB932778.1","666","EU493845.1","2165"
"Drosophila hystricosa",NA,NA,"EU493659.1","1282","EU493788.1","1415","EU493916.1","816"
"Drosophila imaii",NA,NA,"EF216245.1","496","EF216255.1","688",NA,NA
"Drosophila imeretensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila immigrans","OY757235.1","15791","OP263088.1","512","OP263090.1","665","EU493846.1","1211"
"Drosophila immigrans I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila immigrans II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila immigrans-like n. sp",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila imparisetae",NA,NA,"MK277053.1","1469","EU493789.1","749","EU493917.1","1574"
"Drosophila inca",NA,NA,"KC011821.1","367","KC011826.1","733",NA,NA
"Drosophila inedita",NA,NA,"MK277068.1","1469",NA,NA,NA,NA
"Drosophila inflatus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila infuscata",NA,NA,"HQ170770.1","807","HQ170660.1","750",NA,NA
"Drosophila ingens",NA,NA,"MK277111.1","1502","AY006444.1","688",NA,NA
"Drosophila innubila","CM015047.1","16191","EU126504.1","453","AF519325.1","687","AF519357.1","416"
"Drosophila insularis","NC_071242.1","15971","NC_071242.1","15971","NC_071242.1","15971","NC_071242.1","15971"
"Drosophila ischnotrix",NA,NA,NA,NA,"HQ170662.1","721",NA,NA
"Drosophila jambulina","MK742875.1","16019","AY757284.1","1539","AY757284.1","1539",NA,NA
"Drosophila johnstonae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila kambysellisi",NA,NA,"EU493661.1","2005","EU493790.1","1457","EU493918.1","2214"
"Drosophila kanapiae",NA,NA,"AB669755.1","1536","AF461301.1","384",NA,NA
"Drosophila kanekoi","HQ849827.1","15259","JN019866.1","659","KX399453.1","1270","KX399462.1","909"
"Drosophila kauluai",NA,NA,NA,NA,"HQ170664.1","750",NA,NA
"Drosophila kepulauana",NA,NA,NA,NA,"EU493717.1","1457","EU493847.1","2002"
"Drosophila khaoyana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila kikkawai","MK742876.1","16019","MW122898.1","658","MK659822.1","15655",NA,NA
"Drosophila kohkoa",NA,NA,"EU493588.1","1604","EU493718.1","1409","EU493848.1","2106"
"Drosophila komaii",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila lacertosa",NA,NA,"EU493610.1","1300","EU493740.1","748",NA,NA
"Drosophila lacicola",NA,NA,"MH423332.1","658","KX399454.1","1304","KX399469.1","946"
"Drosophila lacteicornis","MK659823.1","17124","AY757286.1","786","MK659823.1","17124",NA,NA
"Drosophila lamottei",NA,NA,"KX771115.1","658",NA,NA,NA,NA
"Drosophila lasiopoda",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila latifasciaeformis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila latifshahi",NA,NA,"DQ471561.1","1500",NA,NA,NA,NA
"Drosophila lativittata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila lebanonensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila lebanonensis casteeli",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila leonis",NA,NA,"MH142793.1","658","JF736096.1","693",NA,NA
"Drosophila leontia","NC_060504.1","16019","AB669736.1","1536","AB669793.1","645",NA,NA
"Drosophila limbinervis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila limensis",NA,NA,"KX275229.1","531","KX275249.1","549",NA,NA
"Drosophila limitata",NA,NA,"MK277159.1","1469",NA,NA,NA,NA
"Drosophila limpiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila linearepleta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila lineosetae",NA,NA,"MK277186.1","1469","HQ170733.1","688","U94231.1","228"
"Drosophila lini",NA,NA,"JF735920.1","671","AF461294.1","384",NA,NA
"Drosophila liophallus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila littoralis","NC_011596.1","16017","NC_011596.1","16017","NC_011596.1","16017","NC_011596.1","16017"
"Drosophila longala",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila longicornis",NA,NA,"DQ202064.1","372","DQ202024.1","719",NA,NA
"Drosophila longiseta",NA,NA,"HQ170827.1","229","HQ170725.1","688",NA,NA
"Drosophila lowei","MK659824.1","16085",NA,NA,"MK659824.1","16085",NA,NA
"Drosophila lucipennis",NA,NA,"AY098459.1","407","AF461272.1","384",NA,NA
"Drosophila lummei","MK659825.1","15629","MH423336.1","658","MK659825.1","15629","KX399463.1","940"
"Drosophila lusaltans",NA,NA,"AF045106.1","305","AF045090.1","688",NA,NA
"Drosophila lutea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila lutescens",NA,NA,"MN692847.1","658","AF461271.1","384",NA,NA
"Drosophila macroptera",NA,NA,"EU493597.1","2019","EU493727.1","1416","AF519361.1","416"
"Drosophila macrospina",NA,NA,"MF880183.1","576","EU390747.1","657","GU597530.1","445"
"Drosophila macrospina limpiensis",NA,NA,NA,NA,"EF469565.1","590",NA,NA
"Drosophila macrospina macrospina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila macrospina ohioensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila macrothrix",NA,NA,"MK277075.1","1469",NA,NA,NA,NA
"Drosophila magnaquinaria",NA,NA,"MK017277.1","413","MK016669.1","684","MK017055.1","416"
"Drosophila mainlandi",NA,NA,"DQ202066.1","372","DQ202026.1","712",NA,NA
"Drosophila malerkotliana malerkotliana",NA,NA,"AJ844764.1","542","AF461279.1","384",NA,NA
"Drosophila malerkotliana pallens",NA,NA,"AJ844777.1","553",NA,NA,NA,NA
"Drosophila mangabeirai",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila martensis",NA,NA,"KX275227.1","531","KX275247.1","549","AF146180.1","419"
"Drosophila mathisis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mauritiana","AF200831.1","14944","HM630860.1","560","AF474081.1","685",NA,NA
"Drosophila mayri",NA,NA,"AB669757.1","1536","AF461302.1","384",NA,NA
"Drosophila mcclintockae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mediodiffusa",NA,NA,"EU493616.1","1283","EU493745.1","1418","EU493876.1","682"
"Drosophila medionotata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mediopictoides",NA,NA,"EU493617.1","1290","EU493746.1","1413",NA,NA
"Drosophila mediopunctata",NA,NA,"OM556238.1","658","AY162989.1","489",NA,NA
"Drosophila mediosignata",NA,NA,NA,NA,"AY162985.1","695",NA,NA
